"user_id";"presented_sentence";"transcribed_sentence";"text_input_technique";"total_time (ms)";"wpm";"timestamp (ISO)"
"1";"mein Hund hat dich extrem lieb";"mein Hund hat dich extrem lieb";"C";"10843";"34.30784838144425";"2017-06-18T15:10:48"
"1";"der hat nen Hut aber ich nicht";"der hat nen Hut bre ich nicht";"C";"11909";"30.229238391132757";"2017-06-18T15:11:01"
"1";"ich hab den Bus verpasst";"ich bhsa den Bus verpasst";"C";"11804";"26.431718061674005";"2017-06-18T15:11:15"
"1";"ich mag ein Eis es ist heiß hier";"ich mag ein Eis es ist heiß hier";"C";"14126";"28.033413563641513";"2017-06-18T15:11:30"
"1";"der hat nen Hut aber ich nicht";"der hat nen Hut aber ich nicht";"C";"9692";"38.382170862567065";"2017-06-18T15:11:43"
"1";"wo rennst du bloß rein";"wo rennst du bloß rein";"C";"8756";"31.521242576518958";"2017-06-18T15:11:53"
"1";"es war ein Mann ich sehe ihn nicht.";"es war ein Mann ich sehe ihn nicht";"C";"11333";"37.05991352686844";"2017-06-18T15:12:06"
"1";"geh nun zum Auto es ist kalt hier";"Geh nun zum Auto es ist kalt hier";"C";"10149";"40.20100502512563";"2017-06-18T15:12:18"
"1";"wir essen zu viel Fleisch iss Gemüse";"wir essen zu viel Fleisch iss Gemüse";"C";"12409";"35.780481908292366";"2017-06-18T15:12:32"
"1";"Die Leute mögen dich ich mag dich auch";"die Leute mnöge dich ich mag dich auch";"C";"12665";"36.9522305566522";"2017-06-18T15:12:46"
"1";"Die Leute mögen dich ich mag dich auch";"Eis Leute mögen dich ich mag dich auch";"C";"14184";"32.994923857868024";"2017-06-18T15:13:01"
"1";"geh nun zum Auto es ist kalt hier";"Geh nun zum Auto es ist kalt hier";"C";"8457";"48.244058176658385";"2017-06-18T15:13:11"
"1";"der Mann ging im Herbst mal allein spazieren";"der Mann ging im Herbst mal allein spazieren";"C";"13954";"38.69858105202809";"2017-06-18T15:13:26"
"1";"der Mann ging im Herbst mal allein spazieren";"der Mann ging im bhtre mal allein nizares";"C";"12662";"39.8041383667667";"2017-06-18T15:13:40"
"1";"ich hab den Bus verpasst";"ich hab nfe Bus verpasst";"C";"6980";"42.97994269340974";"2017-06-18T15:13:49"
"1";"leider hab ich keine Zeit";"leider hab ich keine Zeit";"C";"7127";"43.77718535148029";"2017-06-18T15:13:58"
"1";"mein Hund hat dich extrem lieb";"mein nuh hat dich extrem lieb";"C";"8909";"40.408575597710175";"2017-06-18T15:14:08"
"1";"der Junge weiß echt nicht was er tut";"der Junge weiß echt nicht was er tut";"C";"12399";"35.80933946285991";"2017-06-18T15:14:22"
"1";"wir essen zu viel Fleisch iss Gemüse";"wir essen zu viel Fleisch iss Gemüse";"C";"11324";"39.20876015542211";"2017-06-18T15:14:35"
"1";"der Junge weiß echt nicht was er tut";"der Junge weiß echt ohntc was er tut";"C";"9365";"47.41057127602776";"2017-06-18T15:14:45"
"1";"ich mag ein Eis es ist heiß hier";"ich mag ein Eis es ist heiß hier";"C";"8782";"45.09223411523571";"2017-06-18T15:14:55"
"1";"das Spiel ist gut schieß nen Punkt";"das Spiel ist gut schieß nen Punkt";"C";"10947";"38.36667580158948";"2017-06-18T15:15:07"
"1";"das Spiel ist gut schieß nen Punkt";"das pSpiel ist gut schieß nen Punkt";"C";"10722";"40.29099048684947";"2017-06-18T15:15:19"
